Date	App Name	App Apple Identifier	App Version	Device	Platform Version	Source Type	Page Type	App Download Date	Territory	Sessions	Total Session Duration	Unique Devices
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	4.4.8	iPhone	iOS 14.6	Web referrer	Product page		CA	1	15	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.0.6	iPhone	iOS 18.6	App Store search	No page		PH	13	91	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.2.10	iPhone	iOS 18.3	App referrer	Product page		JP	1	9	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.2.10	iPhone	iOS 18.6	App referrer	Product page		DE	1	13	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.2.10	iPhone	iOS 18.6	App referrer	Product page		DK	2	5	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.2.10	iPhone	iOS 18.6	Web referrer	Product page		US	27	880	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.2.12	iPhone	iOS 18.5	App Store search	Product page		JP	1	6	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.2.3	iPhone	iOS 18.6	Web referrer	Store sheet		AU	1	106	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.2.4	iPhone	iOS 18.6	App Store search	Product page		US	1	2	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.4.4	iPhone	iOS 16.1	Web referrer	Product page		GB	99	4698	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.4.4	iPhone	iOS 18.6	App Store search	No page		CA	4	365	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.4.5	iPhone	iOS 18.5	App Store browse	No page		KR	15	781	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.4.6	iPhone	iOS 18.5	App Store search	No page		US	18	395	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.4.9	iPhone	iOS 16.7	App Store search	No page		US	4	66	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.4.9	iPhone	iOS 18.4	App Store search	No page		SI	1	17	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.4.9	iPhone	iOS 18.4	App Store search	No page		US	15	207	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.5.0	iPhone	iOS 18.6	App Store search	No page		CA	2	20	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.5.0	iPhone	iOS 18.6	App Store search	No page		US	4	44	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.5.1	iPad	iOS 18.6	App Store search	No page		MY	2	302	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.5.1	iPhone	iOS 18.6	Web referrer	Product page		JP	1	4	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.5.2	iPhone	iOS 18.6	App Store search	No page		RO	1	17	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.6.2	iPhone	iOS 18.6	App Store search	No page		JP	1	9	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.6.2	iPhone	iOS 18.6	App referrer	No page		US	3	87	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.6.3	iPhone	iOS 16.1	App Store search	No page		GB	4	57	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.6.3	iPhone	iOS 16.1	App referrer	Product page		JP	1	1	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.6.3	iPhone	iOS 16.2	App Store search	No page		OM	2	17	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.6.6	iPhone	iOS 18.3	Web referrer	Product page		JP	2	69	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.6.6	iPhone	iOS 18.5	App Store search	No page		JP	1	49	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.6.6	iPhone	iOS 18.5	App Store search	No page		KR	1	8	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.6.7	iPhone	iOS 16.2	App Store search	Product page		JP	1	10	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.6.8	iPhone	iOS 16.3	App Store search	No page		KR	4	23	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.6.8	iPhone	iOS 16.4	Web referrer	Product page		JP	2	36	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.6.8	iPhone	iOS 17.4	App Store search	Product page		US	3	38	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.6.8	iPhone	iOS 18.3	Web referrer	Product page		JP	1	19	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.6.8	iPhone	iOS 18.6	App Store search	No page		JP	3	77	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.6.8	iPhone	iOS 18.6	App Store search	No page		PL	2	132	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.6.8	iPhone	iOS 18.6	App Store search	No page		US	8	101	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.7.2	iPad	iOS 18.5	App Store search	No page		US	2	13	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.7.2	iPhone	iOS 14.8	App Store search	No page		IE	5	282	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.7.2	iPhone	iOS 16.0	App Store search	No page		KR	4	88	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.7.2	iPhone	iOS 16.1	App Store search	No page		US	36	1221	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.7.2	iPhone	iOS 16.3	App Store search	No page		VN	1	2	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.7.2	iPhone	iOS 16.4	App Store search	No page		NL	2	52	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.7.2	iPhone	iOS 16.6	App Store search	No page		NG	1	3	1
2025-08-18	Bitrue - Buy BTC XRP & Crypto	1435877386	5.7.2	iPhone	iOS 16.6	App referrer	Store sheet		TH	1	11	1
