Date	App Name	App Apple Identifier	Event	Download Type	App Version	Device	Platform Version	Source Type	Page Type	App Download Date	Territory	Counts	Unique Devices
2025-08-21	Bitrue - Buy BTC XRP & Crypto	1435877386	Delete		4.5.5	iPhone	iOS 15.4	App Store search	Product page		CA	1	1
2025-08-21	Bitrue - Buy BTC XRP & Crypto	1435877386	Delete		5.7.2	iPad	iOS 16.7	App Store search	No page		AU	1	1
2025-08-21	Bitrue - Buy BTC XRP & Crypto	1435877386	Delete		6.0.18	iPhone	iOS 15.8	App Store search	No page		MY	1	1
2025-08-21	Bitrue - Buy BTC XRP & Crypto	1435877386	Delete		6.0.18	iPhone	iOS 18.5	App Store search	No page		US	1	1
2025-08-21	Bitrue - Buy BTC XRP & Crypto	1435877386	Delete		6.1.3	iPhone	iOS 15.8	App Store search	No page		TH	1	1
2025-08-21	Bitrue - Buy BTC XRP & Crypto	1435877386	Delete		6.1.5	iPhone	iOS 18.5	App referrer	Store sheet		TR	1	1
2025-08-21	Bitrue - Buy BTC XRP & Crypto	1435877386	Delete		6.1.6	iPhone	iOS 18.5	App Store search	No page		IT	1	1
2025-08-21	Bitrue - Buy BTC XRP & Crypto	1435877386	Delete		6.1.6	iPhone	iOS 18.5	Web referrer	Product page	2025-07-27	IT	1	1
2025-08-21	Bitrue - Buy BTC XRP & Crypto	1435877386	Delete		6.1.6	iPhone	iOS 18.6	App Store search	No page		TR	1	1
2025-08-21	Bitrue - Buy BTC XRP & Crypto	1435877386	Delete		6.1.7	iPhone	iOS 16.7	App Store search	No page	2025-08-21	VE	1	1
2025-08-21	Bitrue - Buy BTC XRP & Crypto	1435877386	Delete		6.1.7	iPhone	iOS 17.6	App Store search	No page	2025-08-19	AU	1	1
2025-08-21	Bitrue - Buy BTC XRP & Crypto	1435877386	Delete		6.1.7	iPhone	iOS 18.0	Web referrer	Product page	2025-08-20	TH	1	1
2025-08-21	Bitrue - Buy BTC XRP & Crypto	1435877386	Delete		6.1.7	iPhone	iOS 18.3	App Store search	No page	2025-08-18	NG	1	1
